"Review Customer";"Sentiment"
"barangnya original ada garansi resmi suaranya jernih desainya modern nyaman dipakai lama koneksi bluetoth kuat material premium baterai tahan lama noise cancelation mantap kabelnya kuat basnya mantap suaranya gurih harganya terjangkau value for money koneksi ke aple lancar koneksi andarioid lancar suaranya bersih ngak kresekresek penjualnya ramah banget proses pesanan cepat";"Positive"
"barang sudah diterima dan berfungsi dengan baik terima kasih";"Positive"
"proses pesanan cepat respon penjualnya top packaging rapi";"Positive"
"proses pesanan cepat packaging aman  packaging rapi";"Positive"
"barang dan pengiriman sesuaisuara alarm kurang begitu kenceng alarm clock agak mengarah keatas jadi display pd jam hanya akan terlihat lbh jelas bila posisi mata qta lbh tingi dari posisi jam";"Positive"
"pengiriman cepat product aman dicoba bisa charge cm gak terlalu fast charging";"Positive"
"untuk barangnya sangat berkualitas akan tetapi pengirimnya yang agak lama terima kasih";"Positive"
"kalauaim produk order ditangapi dengan cepat dan diganti sesuai dengan kualitas yg baik";"Positive"
"barang bagus pengiriman juga cepat cuma minus di packaging nya kurang rapi cuma pakai plastik tapi rekomen sih buat harga segini";"Positive"
"mantap produk sesuai deskripsi material produk krg rapi packing aman dan pengiriman cepat terima kasih seler";"Positive"
"model dan warna aku suka tapi pemasangan sedikit ribet moga ja awet";"Positive"
"barang mantap original robot harga juga lumayan oke";"Positive"
"bagus original suara lumayan semua touch control nya berfungsi dengan baik batre lumayan awet";"Positive"
"barangnya original mutu terjamin sni engakmpang dipakai hemat listrik modelnya keren hemat listrik";"Positive"
"barangnya berfungsi dengan baik semoga baterainya awet ya";"Positive"
"proses pesanan cepat packaging rapi";"Positive"
"sesuai dengan harga  lumayan lah lebih kencang dari speaker hp";"Positive"
"harganya terjangkau koneksi andarioid lancar";"Positive"
"produk cepat sampai dan sesuai deskripsi tapi chat nya slow respon overal bagus";"Positive"
"kesel ama durasi pengirimanya doang overal barangnya bagus kok";"Positive"
"barang nya ok cuma proses kirim nya agak lama dan admin nya harus nya dichat dulu baru di proses barang nya";"Positive"
"barang sangat lama datang dan ada sedikit penyot di bagian lampu indikator tapi alhamdulilah berfungsi dengan baik";"Positive"
"suaranya jernih tapi kurang keras dan casnya gk berfungsi tapi tidak apa-apa saya punya cas sndari proses pesanan cepat packaging aman packaging rapi";"Positive"
"barangnya lumayan bagus hanya saja kurang bas nya";"Positive"
"kurang bas tapi harganya terjangkau proses pesanan cepat";"Positive"
"solatip nya kurang merekat tapi lampunya top";"Positive"
"kipas ok namun packingnya rusak dosnya sudah terbuka";"Positive"
"ternyata kecil belum pasang semoga berfungsi baik";"Positive"
"ini pembelian saya yang kedua kali pada sat saya terima kondisi segel sudah terbuka dan kartu garansi beda dengan 2 unit yang saya sebelumnya meskipun garansi resmi indonesia dan unit ip cameranya berbahasa indonesia serta kondisi unit bisa dinyalakan saran saja sebelum barang dikirim disampaikan saja kondisinya supaya lebih transparan";"Positive"
"ful hd dan 2k hasil video nya masih noisaya gak gitu jelas pun ada harga ada rupa overal masih aceptable di range harga ini";"Positive"
"di aplikasinya gak bisa kelihatan kalo pintu lagi ke buka atau engaktapi automationya lumayan lengkapnlah";"Positive"
"berfungsi tapi sayangnya penyok";"Positive"
"barang berfungsi dengan baik packaging aman  barang msudah digunakan";"Positive"
"oke mantap pengiriman cepat seler ramah fast response produk sesuai harapan thanks";"Positive"
"packaging rapi engakmpang dipakai desainya elegan  ada baret dikit tapi masi ok lah overal";"Positive"
"fast respon barang bagus panasnya juga bagus";"Positive"
"alhamdulilah barang sudah diterima dengan baikrespon penjualnya top dehsemoga makin suksesabang kurirnya ramahteriterima kasih";"Positive"
"barangnya original  engakmpang dipakai ada garansi resmi penjualnya ramah banget";"Positive"
"barang bagus dan berfungsi dengan baik hasil pengepelan juga bersih pengiriman cepat";"Positive"
"segel rusak agak ragu sih dengan kualitas nya sempet komplain disertakan video unboxing sat paket datang tapi sama penjual direspons negative yasudahlah kapok beli disini";"Negative"
"barang dateng pake kurir toko di unboxing trnyt ad lecetbaret ampe besi ny keliatan sesuai dengan foto yg saya ambil dlm chat dengan owner tidak ad pertangung jwban chat saya cm di read dari smnjk kemarin mlm 6 april 2020 jam 8an mlm smpe skg tgl 7 april 2020 jam 1630an";"Negative"
"awalnya coba2 beli merk ini tapi ternyata kulkasnya ga bagus pada sat proses pendinginan kompresornya suranya keras berisik sumpah gangu banget";"Negative"
"baru datang saya rakit coba naikan kulkas baru sebentar kaki sudah patah al hasil tidak di pakai untung kulkas tidak jatuh";"Negative"
"barangnya ringkih banget saya baru pake sudah penyok pdhl saya pake untuk mesin cuci 7 kg map";"Negative"
"engak guna dibeli aplikasi semua gabisa moka cashlez semua gabisa dulu beli apa juga ga conect no recomended harga mahal suport jelek";"Negative"
"dikirimnya lama plus batrenya cuma 150mah alias tidak sesuai pic";"Negative"
"drawlernya ga bisa kebuka manual ataupun yg otomatis";"Negative"
"lacinya sering macet tidak terbuka otomatis";"Negative"
"pakingnya kurang aman di pakein dus tipis doang pdahal elektronik dengan barang riskan pecah kalo di tumpuk brng lain";"Negative"
"tidak sesuai yang diharapkan volume tidak besar kencang";"Negative"
"ad retak di bagian kasingnya yg ad logo bluetoth nya untuk unit mp3 kit blom di tes msudah2han nyala setelah di tes ternyata gak ad suaranya padahal kalo pake modul mp3 lain nyala jadi keluar biaya 2x niat hemat malah buntung";"Negative"
"klo bisa di test dulu  minimal nyala kondisi barang yg sampai ke saya tidak bisa nyala  ada komponen dioda yg gak terpasang di power 5v inputoveral sih ok  bisa saya perbaiki dari pada returthanks";"Negative"
"packing kurang rapi tidak aman dus penyokplayer hancur";"Negative"
"tidak sesuai deskripsi tidak sesuai gambar ada brapa tombol yg tidak berfungsi mau retur mau ganti dengan model lain yg ada backlight ga masalah nambah biaya tapi respon seler bikin kecewa";"Negative"
"banyak tombol yg rusak batre rusak tidak bisa di charge";"Negative"
"aplikasi banyak yang gak bisa kebuka cm bs youtube saja wireles keyboard arah atasback dan angka 3 tidak bisa kecewa tidak dilakukan pengecekan dlu sebelum dikirim niat mau nonton bein jadi tidak bisa remote mi boxnya juga tidak bisa";"Negative"
"tidak bisa upload atau transfer file dari komputer ke mp3 player padalhan sudah gonti usb cable data yg terbaik dan sudah update usb darive nya ternyata harus beli external memory card awalnya tertulis internal 4gb";"Negative"
"pengiriman cepet tapi qualitas barangnya jelek kekuatan baterai nya cuma bertahan 3040 menit klo dicas ada suara berdesis";"Negative"
"suara noise seperti sat sedang mencari saluran radio dan agak meletup2 sangat mengangu padahal sedang berada pada mode bluetoth untuk mendengarkan musik bikin sakit telinga";"Negative"
"yg satu eror mulu jadinya repot kadang hidupnya susah kalauoun hidup harusbpakai headset sebab mic nya nyala mati";"Negative"
"ngak recomended saya sdh tes wtnya katany jarak 1km ini 10 meter saja sdh ganguan";"Negative"
"1 ga bisa nyala 1 mati2 suaranya";"Negative"
"seler 2x masalah dalam pengiriman barang pertama saya beli 3 macam barang yg di kirim cuman 1 macam kedua barang yg kurang sudah dikirim tetapi tidak seusai pesanan saya alhasil cuman 2 barang yg saya pesan yg nyampe ngasih resi juga tidak sesuai di pengajuan komplain admin slow respon oficial store ga menjamin deh";"Negative"
"barang tidak bs di pake ring tune juga g bunyikecewa";"Negative"
"barang tidak bisa dipakai suara tidak keluar  sangat mengecewakan";"Negative"
"mic speakernya rusak suaranya terlampau kecil banget nyaris gak bisa dengar hm not worth it gak di cek dulu sebelum kirim";"Negative"
"ujung kabel colokan dari gagang telepon ke pesawat telepon sudah tidak bisa terpasang sempurna";"Negative"
"penjual kurang responsif sat diajukan pertanyan tentang barang yg dikirim jadi kecewa bngt ndak recomended sm penjual seperti gini saran bwt toko cari pegawai yang sikapnya enak dan responsif kepada pelangan agar pelangan merasa puas dan senang dengan pelayanan";"Negative"
"saya pernah usaha jadi saya tidak mau menjelekan usaha org saya toleransi klo pertama beli colokan rusak saya angap kurir tapi transaksi ke2 ini lampu 2dari 3 hanya nyala setengah bagaimana admin jualan tidak cek dulu sebelum pac d kirim jujur saya kecewa saya beli barang mungkin murah tapi bukan yg rusak donk cukup terakhir kali belanja di toko ini";"Negative"
"packing jelek brg dtng kotaknya penyot2pesan 8 bh rusak 2 bh";"Negative"
"respon pengiriman sangat lambatstatus sengsaja dirubah ke pengiriman agar tidak ada batas waktu batal otomatis tapi barang tidak dikirimkirim status berubah jadi pengiriman sampai resi keluar 3 hari baru kurir berhasil pickup barang payah";"Negative"
"barang engak bisa dipake lampunya engak nyala dan sensornya rusak";"Negative"
"bagian magnet perekat tidak melekat dengan sempurna jadinya ketika ditempel dengan lampunya jatuh cukup kecewa karena bagian magnet dengan wadahnya ga melekat kuat jadinya buat rusak lampu kalau jatuh kelantai";"Negative"
"tidak recomend banget pelayanan ngk bagus dan tidak sesuai di foto saya beli 2 tetapi lampu mati satu dan tidak lengkap";"Negative"
"barang ada yg tidak dikirim penjual janji akan dikirim pada sat saya order berikutnya tetapi sampai order ke2 dateng tidak disertakan juga kekurangan barangnya penipu selernya";"Negative"
"barang yg dikirim tidak dicoba terlebih dulu sehinga ada 1 pcs yg tidak berfungsimau diretur ongkir nya lebih mahal dari harga barangjadi kecewa";"Negative"
"barang gak berfungsi kalo mau dikirim cek dulu bos senter gak hidup sudah di cas seharian packing juga tidak bagus jadi bungkusnya ada yg pecah";"Negative"
"harga murah tapi fisik yang di terima ga sesuai harapan lampu di gagang ga berfungsi zom besar kecil ga berfungsi lebih parah lagi saya sudah kasih waktu 3 jam untuk jawab keluhan saya via chat tapi seler slowslow saja padahal online utamain kepuasan pelangan jangan hanya nyari keuntungan semata ga bakal berkah";"Negative"
"jelek silikon pelindungnya setelah ditekuk gampang pecah jadi sobek gitu kualitas lamounya juga tidak sebaik yg saya bayangkan jauh dibawah kualitasnya philips";"Negative"
"barang sangat jelek tidak fungsi klaim tetap rusak mendingan jangan beli";"Negative"
"barangnya ada yg sobek diujung nya jadi macet ketika dinyalakan";"Negative"
"lampu sudah di charge ga bisa menyala sama sekali padahal baru belisaya kecewa sekalipenjual no respon";"Negative"
"di keteranganya kuat 8 jameh baru saja 1 jam juga belum sudah redup para";"Negative"
"untuk sekelas oficial store ini paling kacau sih packingnya bener2 cuma plastik item tipis kualitas trash bag dilakban asalasalan mending kalau ada tambah opsi buble wrap";"Negative"
"gada 2 jam uda redup padahal cas nya seharian sebelum pemakaian pertama";"Negative"
"gak rekomendasi untuk beli disini ada masalah tapi seler ga jawab pesan tadinya ga mau pakai fitur komplain tokped karena gw kira seler bakal mau tangung jawab tapi sampai pesanan otomatis selesai belum juga ada balasan buat pelsajaran saja buat yang lain beli barang kaya gacha kalau lagi ga beruntung bisa dapat barang jelek dan ga bisa dituker";"Negative"
"lampu nya nyala tapi bentar saja tahan nya habis itu mati terus di colon lagi hidup trus bentar saja mati tidak tau salahnya dimana";"Negative"
"barang rusak ga bisa nyala sama sekali sebaiknya di coba dulu sebelum dikirim";"Negative"
"1 lampu rusak tidak bisa hidup dari awal 1 lampu lagi mati dan tidak bisa hidup setelah dipakai sehari";"Negative"
"beli 2 baru 2 hari pake stik yg 1nya malah eror suka mencet sendiri kecewa dah";"Negative"
"tiba tiba patah dasar baut patah ane lem saja moga masih bisa terpakai mo di balikin rugi di ongkir terima nasib saja";"Negative"
"barang yang sampai cacat tidak ngisi baterai stick nya";"Negative"
"bisa hidup tapi ga bisa ngecharge di biarkan seharian batetai tidak terisi berharap banyak sama alat ini supaya stick nya anak anak bisa terpakai 2 nya";"Negative"
"charging awal dkrim tapi indikator ga nyala denganti charging baru tapi seluruh ongkir dibebankan k konsumen";"Negative"
"respon baik packing baik tapi perlu para pembeli tahu kalau barang ini ada masalah harus kirim ke medan pas ada masalah waduh ngotot nya minta ampun coba pikir pakai logika mana ada firmware update no 0 dan setelah update bisa hilang dan update lagi heranya kaga percaya sama costumer yang beli barang dan bayar ongkir ke medan akhirnya barang tetap tidak di perbaiki atau di tukar alasanya di periksa di sana tidak ada masalah ya silahkan saja buat yang mau belanja tapi tolong teliti";"Negative"
"ternyata stick ga dikirim pake dus nya seperti beli barang bekas ga sesuai deskripsi";"Negative"
"beli dua yang satu jelek eror sama analog g bisa balik lagi kecewa saya";"Negative"
"tulisanya 64gb tapi isinya cuma 8gb disuruh di cek kagak di cek cape dweh";"Negative"
"memorynya sdh ke buka wktu saya trima tidak ada segelan kondisi sdh agak busam aku coba sdh 3 kali belum bisa dipakai";"Negative"
"seler lumayan responsif kualitas brg sesuai harga so so lah dicek di browser ps2 nya kebaca 64 mb tapi kalo sudah dipake save di game cuman kebaca 8 mb engak semua game bisa ngebaca mc nya sayangnya game game yg top yg ga mau ngebaca mc nya kaya god of war";"Negative"
"mau order warna hitam kosong deskripsi produk ada minta di cancel tetep hsajar dari penjual packing rapi tapi experience buruk";"Negative"
"tidak pas terlalu longar membuat nintendo switch teroyak  oyak di dalam pouch";"Negative"
"audio keluar gambar tidak setingan di ps juga sudah di ganti bukan rgb lagi tetap tidak keluar gambarnya";"Negative"
"maf barang berfungsitapi sayang kalo d pake d tv beresolusi fhd gambar tetep pecah";"Negative"
"pembelian ke 2besok2 packingnya tolong di benahicuma buble doang lakban seadanyabolong sebelah";"Negative"
"memorynya g bisa diread sama pspnya padahal sudah diganti sama memory lain";"Negative"
"tidak sesuai foto tidak ada tulisan photofast bahan tipis ringkih";"Negative"
"barang yang diterima cacat pada analog untuk komplain tetap dilayani tetapi dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya lain kali tidak apa apa di buka segelnya untuk di cek analognya sehinga tidak perlu masalah complain dan kirim balik sana lagi terima kasih";"Negative"
"engakbisa dimainin di ios versi 134 dan keatasnya maksimum ios versi 13 selain itu gabisa dipake";"Negative"
"dapet barang gak bagus analog kiri gabisa buat jalan ke serong kanan atau kiri mau retur ribet  seler slow respon alhasil cuma jadi psajangan saja nih stick edit setelah semingu analog gabisa jalan sama sekali penjual sama sekali ga respon nyesel";"Negative"
"setelah 3 hari pakai gamepad bagian kananya mati ketika direngangkan kecewa seler berbelitbelit";"Negative"
"buat emulator delay parah sama deadzone di dua analog di emu psp dan beberapa emu yg saya coba intinya gak rekomen buat yg main emulator";"Negative"
"respone selernya sangat cepattapiga bisa dipasang di hp saya dideskripsi 7 inch bisa eh ternyata pas dateng di pasang di hp samsung a70 ga muat dan pas baca dalemnya maks ktnya 62 inch sama buat maen cod rada ngadat pas maen ml lancar jaya padahal pengen maen cod nya";"Negative"
"baru pake 2 hari dah ga bisa on pdhal sdh di charge penuh baterenya kecewa x not recomended seler barang refurbish kualitas jelek";"Negative"
"kenapa tombol kanany gerak sendiri gk bisa balik ke kiri seperti lengket gitu mau ngirim videony tapi gk bisa";"Negative"
"untuk respon penjual bagus tapi kondisi barang biasa saja bahkan agak rusak bagian tombol dan kadang mati sendiri sat menjalankan game";"Negative"
"baru pakai beberapa mingu saja kabel usb nya sudah nga bisa nge charge dan yg pasti kabel nya harus khusus beli di tempat dia bagi kalian yg mau beli mikir2 dulu demending beli stick yg lain tanya sama admin nya solusi harus beli dan harganya seratus ribu quality cemen kek gini di kasih harga segitu mikir donk";"Negative"
"beli dua rencana nya buat jaga jaga kalo salah satu nya rusak eh bener saja dua dua nya gak mau nyolok stik ps dengan sempurna ke converter nya mau retur produk sudah kadung males untuk penjual sebelum kirim barang tolong dong di qc lebih maksimal lagi";"Negative"
"untuk kalian yang beli buat windows 10 saya saranin jangan karena saya coba di windows 10 mencet mencet sendiri terus padahal stik ps2 saya masih baru dan di coba di ps2 baik baik saja";"Negative"
"pengiriman cepat berfungsi tapi harus dikaretin klo nga longar jadi nga bisa di pake";"Negative"
"pelayanan seler positive sayang converternya ga bisa dipake alias eror beli 2 eror 2 2 nya";"Negative"
"barangnya tidak seperti barang baru dan tanpa kemasan pabrik";"Negative"
"console sebelah kanan analoq ya darift sendiri lecet juga ng recomend deh kapok";"Negative"
"tidak dinfo dent dent ny tidak memberikan kejelasan msalah batery cukup kecewa tapi mesin jalan dengan baik bat capacity tidak 10 beset kanan bawah pesok bag monitor atas dan bawah";"Negative"
"barang cacad banyak dent kabel usb  adapter gk jalan";"Negative"
"tolong gan ps3 nya ga mw tampilkab gambar di tv pakai hdmilampu power yg merah kedap kedip trus";"Negative"
"sangat buruk menangapi respon pembeli n katanya ada garansi tapi ada kerusakan malah tidak direspon";"Negative"
"awalnya bintang 5 setelah beberapa bulan pakai ternyata ada part yang hilang seperti baut";"Negative"
"engakn kok ps nya baru kok sudah mati2 sendiri tiba tiba tombol hijaunya tibatiba merah trus mati";"Negative"
"barang sampah kecewa belanja disini modbo rusak kok dikirim";"Negative"
"tombol rt tidak berfungsi mau retur ongkir bolak balik setengah harga stick nya kecewa saja gk di test dulu sebelum pengiriman";"Negative"
"produk telah sampai tapi pas sampe malah ada yg cacat di bagian analog kanan ada yg pecah";"Negative"
"hati yang belanja disini suka kirimbarang sembarangan baru lama lagi buat returnya  toko tidak niat kek gitu mau nipu  tanpa video unboxing pasti ngk bs retur jadi ingat selalu video di toko ini penipuan tokonya";"Negative"
"seler tidak ramah sedikitapiun saya mau batal dulu baru nambah pesanan biar hemat ongkir seler tidak mau menerima pengajuan pembatalan saya katanya harus check out ulang lagi dengan dana lbh besar di deskripsi produk juga ga ada aturan ini ya ga mau lah nanti dikirim dua2nya sama seler rese macam gini rugi dobel nanti tokped juga tidak bisa membantu sedikitapiun cuman suruh diskusin saja terus sama penjual keras kepala macam ini very not recomended kapok";"Negative"
"benar benar mengecewakan pelayanan lambat sekali";"Negative"
"tolong di cek dulu sebelum kirimpower yg satu keluar asapuntung ganti kapasitor sendiri bisa";"Negative"
"beli 3 pcs 2 pcs tidak berfungsi barang disegel service dan pernah bongkaran komplain dipusat resolusi tidak dtangapi";"Negative"
"engakmepad sampai dengan packing std gamepad satu normal namun yang satunya l2 dan r2 hilang entah kemana sudah di cek memang tidak ada apakah kesalahan pembuatan di pabrik atau memang produk gagal semoga untuk ditingkatkan ketilitian dalam pengiriman sebelum sampai ke tangan konsumen jadi stik atau gamepadnya terpaksa main pakai l2 dan r2 cabutan dari stik lain yang beda merek dan warnanya hitam padahal gamepad normal sayangnya tombol r2 dan l2 misinghilang semoga gamepadnya awet terima kasih y";"Negative"
"brg datang dengan kondisi stick nya ga ok kenapa penjual ga d periksa dl yak trus minta tukar tapi ga mao tangung bersama ongkir nya 5050 donk emg penjual ga mao rugi ya mao ga mao byr uang xtra utk ongkir sana sini tukar stick smoga kedepanya bs lbh baik";"Negative"
"batery remote stick cepet habis signal remote juga kadang ada kadang tidak ada apa ada ide agar awet dan signal stabil";"Negative"
"lumayan biar pelayanan ala kadarnya tapi di sat main kadang layar los signal dari wi console nya trus kenapa harus beli hardisk yang begitu besar kalau isi 50game cuma 60gb";"Negative"
"beli 5 pd gosong semuabaru apa bekas nih biasanya beli ga gini untung asuransi 90 hari";"Negative"
"semua tombol x tidak berfungsi sama sekali jadi mubazir sekali";"Negative"
"ulasan hanya untuk product saja bukan untuk toko ya karena respon toko cukup baik produk ini kekuranganya adalah batery yg tidak bagus pengiriman pertama batery tidak dapat charging saya return datang product penganti sempat saya pakai 2 harian setelah itu batery keok dan gk mau charge gk bisa dipakai lagi entah produk yg dikirim kesaya kebetulan yg cacat atau memang product gamesir t4 tidka bagus";"Negative"
"baru di pakai dengan pemakaian prinegativei standar 1 jam perhari 3 hari sudah rusakmengecewakan mutu barangnya saya beli 2 tingal sisa satu lagi utk membuktikan kwalitas stik ini brp hari tahan";"Negative"
"sayang banget analog kanan sama tombol arah nga berfungsialangkah baiknya di tes dulu sebelum kirim";"Negative"
"barang tidak sesuai  tidak transfaran dan tidak menyala";"Negative"
"niat mau main di televisi tapi sama sekali gak bs tampil di tv mau return kondisi bgini susah kemana2 jadi yasudahlah";"Negative"
"beli 2 1 tidak bisa wong rusak bilangnya sudah dicek tapi kok ga bisa ya";"Negative"
"saya kasih bintang 2 dulu soalnya analog atau yang bulet kananya itu longar dan agak ke atas";"Negative"
"produk masih di pakek sehari lo bayangin sudah rusak analog nya wkwk asem tenan wkwk";"Negative"
"saya beli 2 mohon maf sebelumnya sudah saya minta tolong untuk mencoba tes fisik dulu sebelum kirim tidak tahu d coba atau belum tapi sepertinya tidak d coba alhasil ada 1 yang cacat ujung2nya pembeli harus return itu hal yang merepotkan pembeli maf saya beri 2b";"Negative"
"masak barangnya yang di kirim rusak engak bisa di gunakan dan orangnya gak ngerespon chat sayadan saya minta ganti gak mau yasudah deh biar tuhan yang iklaskan";"Negative"
"kasi 3 bintang ya yg sebelah kanan gak terlalu berfungsi dengan baik lain kali di cek dengan baik";"Negative"
"yg sebelah kiri trigernya ga sensitif jadi cuma kepake sebelah doang";"Negative"
"jika saya pake satu berfungsi dengan baik tapi jika pakai dua duamya sering kepencet sendiri";"Negative"
"paketany ru nyampe lagisung di cek salah satu stik na analog na rusakdiorder yg ke2x natolong jk order lagi tolong dicek kondisi stiknya sblum dikirimteriterima kasih";"Negative"
"sedih liat analog kirinya  akan lebih baik apabila di kirim kaya analog kanan";"Negative"
"barang tidak berfungsi sama sekaliseperti membeli barang rusak";"Negative"
"mohon maf produknya tidak bisa dipakai ssudah instal sesuai dengan petunjuk tapi ga bisa juga insaya alah ikhlas";"Negative"
"salah satu stik tidak berfungsi coba chat penjual tidak direspon";"Negative"
"barang hanya dapat berfungsi beberapa hari terus mati tidak dapat signal dan ketika brg diretur ternyata sama sajamati lagi tidak da signal";"Negative"
"nyala tapi item putih dari customer service cuman bilang diotak atik lagi kak padahal uda sejam putar2 kabelnya dicolokan tvnya could have ben a beter service";"Negative"
"review jujur ya port untuk kontroler player 1 nya ngak berfungsi sudah coba tanya ke seler but no respon ssudah coba reset colok cabut dan pindah2in kontroler tapi tetap ngak berfungsi thanks";"Negative"
"paking barangnya kurang bagusnyampe barangadaptor didalam sudah pecahsampe sekarang belum bisa dicoba";"Negative"
"colokan adaptor mengalami kerusakan respon seler butuh berhari2 disajak diskusi untuk cara memperbaiki sendiri tidak dibalas akhirnya repair sendiri";"Negative"
"mohon maf saya kasih bintang 3 karena ada beberapa kendala  1 tidak disertakan batery di nunchaku sedikitapiun ataupun intruksi mengunakan batery jenis apa 2 mohon dibuat panduan ringkas ketika di menu awal untuk mulai permainan harus kemana dan nantinya tampilan seperti apa karena dengan tidak ada panduanya seringkali hangusb tidak terbaca bahkan gambar semut yang solusinya usb tersebut dilepas dan dipasang kembali baru bisa 3 untuk sensor saya mendapat sedikit retak untuk kedepanya mohon bisa di infokan bila ada minus";"Negative"
"1 nunchuck nya ga berfungsimohon diperhatikan kembli barang yg dikirimkanagar pelangan tidak kecewa";"Negative"
"saya minat membeli disini karena ada konfirm game ultraman evolution dengan jawaban ada donk setelah barang sampai ternyata tidak ada sunguh mengecewakan terima kasih hati hati kalo konfirmasi kelengkapan barang tidak semua pembeli fokus ke ps2 nya perhatikan permintan game nya";"Negative"
"sat di unboxing barang terlihat bagus tapi pas baru di cek dengan seksama sticknya hancur dan bautnya hilang padahal packingan mengunakan kayu dan tidak ada penyok  ps baru di coba banyak game yg tidak mau serta dalam waktu 5 mnt ps langsung mati sendiri sat saya coba cek masalahnya ternyata kipas ps tidak menyala sat saya tanya ke penjual ternyata ps hanya di cek sekedarnya saja dan setelah saya komplain saya disuruh mengembalikan ksana untuk di cek dan ongkir p saya tangung sendiri sangat miris saya sangat percaya dengan toko meskipun ada ulasan yg buruk tapi saya tetap percaya dan tenyata barang yg datang sangat tidak memuaskan";"Negative"
"banyak sekali game yang nge hang dan game yang sama tapi direname munkin biar banyak saja gamenya padahal ada 3 game yang sama stick nya ada yang eror ketika game yang ada efect vibrationya harusnya dicoba dulu sebelum pengiriman";"Negative"
"ps nya ga awetbelom ada 2 bulan sudah rusak padahal pemakaian biasa saja malah jarang di pake tau2 rusak sendiri";"Negative"
"game tidak terlalu sesuai dengan request saya dan gamenya terlalu sedikit dan ya ini msih ditest smua dan game yg brsmlh bru downhil dan slnjtnya akan di cek lagi jadi menurut saya kepuasan pelangan itu hrus di no 1 kan ya";"Negative"
"beli 2 dateng nya malah 1 pas di buka sudah exited banget jadi negativemod tenyata cuman 1";"Negative"
"koneksi perangkat susah kalaupun konek seringkali putus buku petunjuk minim info pdhal beli pilihan yg paling mahal apa saya saja yg terima barang spt ini";"Negative"
"barang diterima dengan baik tapi sayang baterenya uda soak";"Negative"
"sering disconect kadang tidak berfungsi autocatch";"Negative"
"produk tidak ori kwtidak bekerja dengan baikdikirim 2 pgp tidak bekerja di 2 hp saya lenovo n advancuma jadi bangkaiafter sales burukrespon seler kurangno recomended";"Negative"
"sebenernya kualitas barang nya bagus build quality oke lah utk barang rekondisi utk memainkan game tidak ada masalah masalahnya barang ini bahasa jepang dan di keterangan deskripsi tidak dijelaskan setelah barang sampai saya chat seler dengan balasan yg slow respon dan jawaban seadanya dikatakan bahasa tidak bisa diganti mohon dituliskan kekurangan2 pada deskripsi dan lebih fast respon kalau ada pembeli yg complain";"Negative"
"tidak ada mc 8gb seperti deskripsi iklan di paket yg saya terima hanya ada r4 sama charger plus adapter micro sd tulisan hapy box mau komplen terlanjur klik terima barang dan komplen pun akan percuma karena mc barang kecil ujungnya saya yang disangka pura2 ga terima";"Negative"
"ada kesalahan di mc dan hardisknya engak bisa digunain jadi nya psnya masa gak ke isi game atau mc nya ngeblank padahal belinya bkn dengan duit yg sdikit dan harus beli kabel lagi karna salah kirim sudah gt isi game sndari jadinya kecewa sumpah";"Negative"
"banyak game yang rusak beberapa game tidak bisa di save biarlah saya nga akan protes apa puntapi saya harap seler lebih cek dan ricek barang sebelum kirim kalau sudah sampai tapi barang rusak kaya giniyang rugi konsumen bukan seler apa lagi pembeli yang jauh dari luar kota seperti saya";"Negative"
"baru 2 kali pake sudah rusak dibalikin ke tokonya  saya minta cepet dibetulin dan dikirim hari ini juga orangnya langsung pulang ditelpon gak response";"Negative"
"paking oke bagus mohon perbaikan stik bergetar terus tanpa henti mesin agak sering hang mau ganti game mohon diperbaiki gan selisih ongkir juga trims";"Negative"
"barang dtang posisi baterai ksongberarti barang tidak d cek dulu d gambar warna biru cerahdatang wrna biru gelaplayar lcetmna buat kado ultahank ga suka";"Negative"
"banyak baret baterai low padahal sudah di ingatkan cek qc yasudah ya jualan yg laku asal kesohor";"Negative"
"barang oktetapi batrai bocor parahtidak ada niat memberi batrai yg barustiap x maen ga ada 12 jam lngsng habisdi cas juga lampu slalu merah";"Negative"
"beda sma yg di gambar pdahal sudah pernh pesen skali di sni";"Negative"
"barang tidak sesuai deskripsi bukan fast charger saya sudah coba di hp saya yang mendukung fast charger tapi setelah memakai kabel ini jadi normal charger bkn fast charger";"Negative"
"barang rusak  di charge hp ngak ngisi  sudah ngisi etau tau ngilang  susut lagi  di kirain changer di coba dengan kabel lain bagus besoknya di coba lagi msh juga begitu ya ternyata barangnya yg tidak bagus";"Negative"
"baru d pake semingu rusak";"Negative"
"kualitas jelek tidak mau pakai di smartapihone";"Negative"
"nga bs charging sama sekali boro2 fast charging kecewa sudah pake kepala charger semia nga bs charging colok ke laptop yg nga koneksi atau charging";"Negative"
"sidik jari masih ada jadi layar kusam saja karna banyak sentuhan terus efek kaya kertas nya gue rasa ga ada ngaruh nya engak ada tuh kesan paperlike nya tidak kaya deskripsi dan fotonya cuma sebatas pelindung anti gores saja si ini rasanya";"Negative"
"untuk barang dengan harga yang cukup mahal saya berekspektasi tidak ada air buble pada pingiran lobang home buton dan kamera saya sudah coba beberapa kali untuk memperbaikinya tetapi sepertinya bukan salah pada pemasanganya";"Negative"
"barang datang dalam keadan terlipat engak bisa sama sekali dipakai";"Negative"
